p,n,poly,factorization
1181,2,x^2 + x + 7,2^3 * 3 * 5 * 59 * 197
1181,3,x^3 + x^2 + 34,2^2 * 5 * 59 * 1395943
1181,4,x^4 + x^3 + 10,2^4 * 3 * 5 * 59 * 197 * 697381
1181,5,x^5 + x^4 + 15,2^2 * 5^2 * 11 * 59 * 140761 * 251491
1181,6,x^6 + x^5 + 46,2^3 * 3^2 * 5 * 7 * 59 * 197 * 66361 * 1395943
1181,7,x^7 + x^6 + 29,2^2 * 5 * 59 * 71 * 27791 * 202021 * 6812527
1181,8,x^8 + x^7 + 33,2^5 * 3 * 5 * 17 * 59 * 197 * 36833 * 697381 * 1553401
1181,9,x^9 + x^8 + 28,2^2 * 5 * 37 * 59 * 163 * 24697 * 1395943 * 18216538489
1181,10,x^10 + x^9 + 65,2^3 * 3 * 5^2 * 11 * 59 * 197 * 53611 * 140761 * 251491 * 36255851
1181,11,x^11 + x^10 + 13,2^2 * 5 * 23 * 59 * 39887 * 50821 * 31758893 * 3567788446487
1181,12,x^12 + x^11 + 74,2^4 * 3^2 * 5 * 7 * 13 * 59 * 197 * 66361 * 697381 * 1395943 * 149642834797
1181,13,x^13 + x^12 + 10,2^2 * 5 * 53 * 59 * 139024324017152541837782457770492801
1181,14,x^14 + x^13 + 40,2^3 * 3 * 5 * 59 * 71 * 197 * 27791 * 202021 * 645583 * 6812527 * 4199327258827
1181,15,x^15 + x^14 + 29,2^2 * 5^2 * 11 * 59 * 61 * 3691 * 140761 * 251491 * 1395943 * 16794126133336058671
1181,16,x^16 + x^15 + 13,2^6 * 3 * 5 * 17 * 59 * 197 * 577 * 8353 * 36833 * 697381 * 1553401 * 392600538255715441
1181,17,x^17 + x^16 + 29,2^2 * 5 * 59 * 14333962109691059926142559192840841296696250832497
1181,18,x^18 + x^17 + 28,2^3 * 3^3 * 5 * 7 * 19 * 37 * 59 * 163 * 197 * 24697 * 66361 * 1395943 * 134894629 * 352882297 * 18216538489
1181,19,x^19 + x^18 + 69,2^2 * 5 * 59 * 419 * 33278932378973 * 4008661634676707 * 357670596923021836082411
1181,20,x^20 + x^19 + 183,2^4 * 3 * 5^2 * 11 * 41 * 59 * 197 * 401 * 5801 * 53611 * 70201 * 140761 * 251491 * 540041 * 697381 * 1046641 * 36255851
1181,21,x^21 + x^20 + 12,2^2 * 5 * 59 * 71 * 127 * 27791 * 202021 * 1395943 * 6812527 * 57919814244962894924064787082179303
1181,22,x^22 + x^21 + 12,2^3 * 3 * 5 * 23 * 59 * 67 * 197 * 353 * 39887 * 50821 * 71479 * 898019 * 8782819 * 31758893 * 395534129 * 3567788446487
1181,23,x^23 + x^22 + 90,2^2 * 5 * 47 * 59 * 72313 * 160171357 * 2776156351 * 25734908239468980760883171710874043381444119
1181,24,x^24 + x^23 + 7,2^5 * 3^2 * 5 * 7 * 13 * 17 * 59 * 197 * 36833 * 66361 * 697381 * 1395943 * 1553401 * 8088050833 * 149642834797 * 467902438767937
1181,25,x^25 + x^24 + 78,2^2 * 5^3 * 11 * 59 * 151 * 1451 * 140761 * 251491 * 58795501 * 71925851 * 6013876203341109751784346090732502236851
1181,26,x^26 + x^25 + 83,2^3 * 3 * 5 * 53 * 59 * 157 * 197 * 1249 * 2237 * 16768843730944438075072879841 * 139024324017152541837782457770492801
