p,e,n,poly,factorization
8933,1,2,x^2 + x + 20,2^3 * 3 * 7 * 11 * 29 * 1489
8933,1,3,x^3 + x^2 + 12,2^2 * 7 * 11 * 29 * 31 * 2574433
8933,1,4,x^4 + x^3 + 2,2^4 * 3 * 5 * 7 * 11 * 29 * 73 * 1489 * 109313
8933,1,5,x^5 + x^4 + 12,2^2 * 7 * 11 * 29 * 211 * 31511 * 957840761
8933,1,6,x^6 + x^5 + 18,2^3 * 3^2 * 7 * 11 * 29 * 31 * 241 * 1489 * 110359 * 2574433
8933,1,7,x^7 + x^6 + 32,2^2 * 7^2 * 11 * 29 * 98519 * 736910235062511371
8933,1,8,x^8 + x^7 + 2,2^5 * 3 * 5 * 7 * 11 * 17 * 29 * 73 * 457 * 1489 * 109313 * 367721 * 1114489
8933,1,9,x^9 + x^8 + 19,2^2 * 7 * 11 * 29 * 31 * 37 * 425521 * 2574433 * 32274630725943691
8933,1,10,x^10 + x^9 + 78,2^3 * 3 * 7 * 11 * 29 * 61 * 211 * 271 * 1489 * 6871 * 31511 * 56055941 * 957840761
8933,1,11,x^11 + x^10 + 55,2^2 * 7 * 11^2 * 23 * 29 * 67 * 433990217 * 439892640136003043500896089
8933,1,12,x^12 + x^11 + 185,2^4 * 3^2 * 5 * 7 * 11 * 13 * 29 * 31 * 73 * 241 * 1489 * 5653 * 8377 * 109313 * 110359 * 2574433 * 10343761
8933,1,13,x^13 + x^12 + 19,2^2 * 7 * 11 * 29 * 258235905727697476086571196185460941126820431141
8933,1,14,x^14 + x^13 + 20,2^3 * 3 * 7^2 * 11 * 29 * 43 * 281 * 1489 * 98519 * 2682569 * 15675078078871 * 736910235062511371
8933,1,15,x^15 + x^14 + 8,2^2 * 7 * 11 * 29 * 31 * 211 * 31511 * 155851 * 2574433 * 957840761 * 22696479781 * 11462040948661111
8933,1,16,x^16 + x^15 + 130,2^6 * 3 * 5 * 7 * 11 * 17 * 29 * 73 * 457 * 1489 * 109313 * 367721 * 1114489 * 429448568047777 * 47210382300433873
8933,1,17,x^17 + x^16 + 56,2^2 * 7 * 11 * 29 * 7243 * 581179442749 * 1030227413865040229021 * 379178873449510176247109243
8933,1,18,x^18 + x^17 + 35,2^3 * 3^3 * 7 * 11 * 19 * 29 * 31 * 37 * 241 * 1489 * 110359 * 425521 * 2574433 * 184717693 * 48261481821433 * 32274630725943691
8933,1,19,x^19 + x^18 + 35,2^2 * 7 * 11 * 29 * 3279123893 * 40016841374305439956105424052847909208941636803322819440026771
8933,1,20,x^20 + x^19 + 12,2^4 * 3 * 5^2 * 7 * 11 * 29 * 41 * 61 * 73 * 211 * 271 * 421 * 1489 * 6871 * 31511 * 109313 * 56055941 * 957840761 * 1354132621 * 346961677771409941
8933,2,2,x^4 + x^3 + 2,2^4 * 3 * 5 * 7 * 11 * 29 * 73 * 1489 * 109313
8933,2,3,x^6 + x^5 + 18,2^3 * 3^2 * 7 * 11 * 29 * 31 * 241 * 1489 * 110359 * 2574433
8933,2,4,x^8 + x^7 + 2,2^5 * 3 * 5 * 7 * 11 * 17 * 29 * 73 * 457 * 1489 * 109313 * 367721 * 1114489
8933,2,5,x^10 + x^9 + 78,2^3 * 3 * 7 * 11 * 29 * 61 * 211 * 271 * 1489 * 6871 * 31511 * 56055941 * 957840761
8933,2,6,x^12 + x^11 + 185,2^4 * 3^2 * 5 * 7 * 11 * 13 * 29 * 31 * 73 * 241 * 1489 * 5653 * 8377 * 109313 * 110359 * 2574433 * 10343761
8933,2,7,x^14 + x^13 + 20,2^3 * 3 * 7^2 * 11 * 29 * 43 * 281 * 1489 * 98519 * 2682569 * 15675078078871 * 736910235062511371
8933,2,8,x^16 + x^15 + 130,2^6 * 3 * 5 * 7 * 11 * 17 * 29 * 73 * 457 * 1489 * 109313 * 367721 * 1114489 * 429448568047777 * 47210382300433873
8933,2,9,x^18 + x^17 + 35,2^3 * 3^3 * 7 * 11 * 19 * 29 * 31 * 37 * 241 * 1489 * 110359 * 425521 * 2574433 * 184717693 * 48261481821433 * 32274630725943691
8933,2,10,x^20 + x^19 + 12,2^4 * 3 * 5^2 * 7 * 11 * 29 * 41 * 61 * 73 * 211 * 271 * 421 * 1489 * 6871 * 31511 * 109313 * 56055941 * 957840761 * 1354132621 * 346961677771409941
8933,3,2,x^6 + x^5 + 18,2^3 * 3^2 * 7 * 11 * 29 * 31 * 241 * 1489 * 110359 * 2574433
8933,3,3,x^9 + x^8 + 19,2^2 * 7 * 11 * 29 * 31 * 37 * 425521 * 2574433 * 32274630725943691
8933,3,4,x^12 + x^11 + 185,2^4 * 3^2 * 5 * 7 * 11 * 13 * 29 * 31 * 73 * 241 * 1489 * 5653 * 8377 * 109313 * 110359 * 2574433 * 10343761
8933,3,5,x^15 + x^14 + 8,2^2 * 7 * 11 * 29 * 31 * 211 * 31511 * 155851 * 2574433 * 957840761 * 22696479781 * 11462040948661111
8933,3,6,x^18 + x^17 + 35,2^3 * 3^3 * 7 * 11 * 19 * 29 * 31 * 37 * 241 * 1489 * 110359 * 425521 * 2574433 * 184717693 * 48261481821433 * 32274630725943691
8933,4,2,x^8 + x^7 + 2,2^5 * 3 * 5 * 7 * 11 * 17 * 29 * 73 * 457 * 1489 * 109313 * 367721 * 1114489
