p,e,n,poly,factorization
9007,1,2,x^2 + x + 12,2^5 * 3 * 19 * 79 * 563
9007,1,3,x^3 + x^2 + 2,2 * 3^2 * 19 * 67 * 79 * 103 * 3919
9007,1,4,x^4 + x^3 + 17,2^6 * 3 * 5^2 * 19 * 29 * 79 * 563 * 55949
9007,1,5,x^5 + x^4 + 57,2 * 3 * 11 * 19 * 79 * 598378782709891
9007,1,6,x^6 + x^5 + 54,2^5 * 3^2 * 7 * 19 * 67 * 79 * 103 * 457 * 563 * 3919 * 25357
9007,1,7,x^7 + x^6 + 15,2 * 3 * 19 * 79 * 1009 * 529222171371172121473
9007,1,8,x^8 + x^7 + 52,2^7 * 3 * 5^2 * 19 * 29 * 79 * 563 * 5273 * 55949 * 624069393737
9007,1,9,x^9 + x^8 + 102,2 * 3^3 * 19 * 37 * 67 * 79 * 103 * 3919 * 5437 * 884705372662767499
9007,1,10,x^10 + x^9 + 58,2^5 * 3 * 11 * 19 * 79 * 563 * 661 * 9955681097041 * 598378782709891
9007,1,11,x^11 + x^10 + 4,2 * 3 * 19 * 79 * 397 * 330067 * 26819904983874271457876934676343
9007,1,12,x^12 + x^11 + 185,2^6 * 3^2 * 5^2 * 7 * 13 * 19 * 29 * 61 * 67 * 79 * 103 * 457 * 563 * 3919 * 25357 * 33049 * 55949 * 251124529
9007,1,13,x^13 + x^12 + 31,2 * 3 * 19 * 79 * 131 * 733968769 * 2965249877789784925922335128986557259
9007,1,14,x^14 + x^13 + 96,2^5 * 3 * 19 * 79 * 563 * 757 * 1009 * 1723 * 23087 * 17728994357999 * 529222171371172121473
9007,1,15,x^15 + x^14 + 39,2 * 3^2 * 11 * 19 * 67 * 79 * 103 * 3919 * 51721 * 958460021401 * 598378782709891 * 873679541261281
9007,1,16,x^16 + x^15 + 41,2^8 * 3 * 5^2 * 17 * 19 * 29 * 79 * 193 * 563 * 5273 * 55949 * 439601489 * 2496828769 * 6013913281 * 624069393737
9007,1,17,x^17 + x^16 + 9,2 * 3 * 19 * 79 * 81177653 * 90558744880647161230270673 * 255248934844077728883595196429
9007,1,18,x^18 + x^17 + 70,2^5 * 3^3 * 7 * 19 * 37 * 67 * 79 * 103 * 181 * 457 * 563 * 3919 * 5437 * 25357 * 884705372662767499 * 2949866769823908399847
9007,1,19,x^19 + x^18 + 39,2 * 3 * 19^2 * 79 * 191 * 419 * 761 * 2129 * 77369 * 798661696836621397584011752686498333305832963203783687
9007,1,20,x^20 + x^19 + 58,2^6 * 3 * 5^3 * 11 * 19 * 29 * 79 * 563 * 661 * 8521 * 13001 * 55949 * 92041 * 9955681097041 * 598378782709891 * 849615917226013141
9007,2,2,x^4 + x^3 + 17,2^6 * 3 * 5^2 * 19 * 29 * 79 * 563 * 55949
9007,2,3,x^6 + x^5 + 54,2^5 * 3^2 * 7 * 19 * 67 * 79 * 103 * 457 * 563 * 3919 * 25357
