p,n,poly,factorization
4919,2,x^2 + x + 34,2^4 * 3 * 5 * 41 * 2459
4919,3,x^3 + x^2 + 2,2 * 907 * 2459 * 26683
4919,4,x^4 + x^3 + 13,2^5 * 3 * 5 * 13 * 41 * 2459 * 930637
4919,5,x^5 + x^4 + 2,2 * 2459 * 585592611311761
4919,6,x^6 + x^5 + 57,2^4 * 3^2 * 5 * 7^2 * 41 * 907 * 2459 * 26683 * 164569
4919,7,x^7 + x^6 + 18,2 * 71 * 197 * 2459 * 1013035485862180243
4919,8,x^8 + x^7 + 39,2^6 * 3 * 5 * 13 * 41 * 2459 * 557033 * 930637 * 525528617
4919,9,x^9 + x^8 + 4,2 * 19 * 907 * 2459 * 26683 * 745602463727278704739
4919,10,x^10 + x^9 + 37,2^4 * 3 * 5^2 * 11 * 41 * 151 * 2459 * 70482187301 * 585592611311761
4919,11,x^11 + x^10 + 16,2 * 2459 * 312071 * 2513282201 * 10576984198870912149031
4919,12,x^12 + x^11 + 26,2^5 * 3^2 * 5 * 7^2 * 13 * 41 * 907 * 2459 * 26683 * 116089 * 164569 * 930637 * 5043316249
4919,13,x^13 + x^12 + 2,2 * 79 * 2459 * 17358641 * 360343192301 * 406210396465579205139979
4919,14,x^14 + x^13 + 34,2^4 * 3 * 5 * 41 * 71 * 197 * 239 * 2459 * 1013035485862180243 * 59261788500382455233
4919,15,x^15 + x^14 + 3,2 * 907 * 2459 * 26683 * 35280571 * 585592611311761 * 9713833986965741831251
4919,16,x^16 + x^15 + 78,2^7 * 3 * 5 * 13 * 17 * 41 * 2459 * 557033 * 930637 * 525528617 * 10081743953186482348785012113
4919,17,x^17 + x^16 + 8,2 * 2459 * 7526534331888307965961 * 15614296147456933302871643404042959481
4919,18,x^18 + x^17 + 86,2^4 * 3^3 * 5 * 7^2 * 19 * 41 * 907 * 2459 * 26683 * 164569 * 773083 * 6108204341396827 * 745602463727278704739
4919,19,x^19 + x^18 + 9,2 * 2243 * 2459 * 303431 * 167424964979 * 24955235091435045811727782118473887511473416903
4919,20,x^20 + x^19 + 65,2^5 * 3 * 5^2 * 11 * 13 * 41 * 151 * 1601 * 2459 * 53401 * 930637 * 2394548161 * 70482187301 * 1674365490761 * 585592611311761
4919,21,x^21 + x^20 + 42,2 * 43 * 71 * 197 * 673 * 907 * 2459 * 26683 * 1013035485862180243 * 6933460612392016936615276399092153262579
