p,r,n,poly,factorization
6961,1,2,x^2 + x + 21,2^5 * 3 * 5 * 29 * 59^2
6961,1,3,x^3 + x^2 + 53,2^4 * 3^2 * 5 * 19 * 29 * 571 * 1489
6961,1,4,x^4 + x^3 + 46,2^6 * 3 * 5 * 29 * 41 * 59^2 * 590921
6961,1,5,x^5 + x^4 + 13,2^4 * 3 * 5^2 * 11 * 29 * 42695906595011
6961,1,6,x^6 + x^5 + 46,2^5 * 3^2 * 5 * 7 * 19 * 29 * 59^2 * 571 * 1489 * 6921223
6961,1,7,x^7 + x^6 + 21,2^4 * 3 * 5 * 29 * 2843 * 40023525122959082069
6961,1,8,x^8 + x^7 + 69,2^7 * 3 * 5 * 17 * 29 * 41 * 59^2 * 769 * 590921 * 89801021777
6961,1,9,x^9 + x^8 + 47,2^4 * 3^3 * 5 * 19 * 29 * 127 * 571 * 1489 * 298610329615723192303
6961,1,10,x^10 + x^9 + 69,2^5 * 3 * 5^2 * 11 * 29 * 59^2 * 42695906595011 * 2347600264948321
6961,1,11,x^11 + x^10 + 31,2^4 * 3 * 5 * 29 * 267164488828982555021333959672710046811
6961,1,12,x^12 + x^11 + 62,2^6 * 3^2 * 5 * 7 * 13 * 19 * 29 * 41 * 59^2 * 571 * 1489 * 219169 * 590921 * 6921223 * 824069893
6961,1,13,x^13 + x^12 + 31,2^4 * 3 * 5 * 29 * 1951 * 1345059056357641 * 4933139275735420740510584923
6961,1,14,x^14 + x^13 + 53,2^5 * 3 * 5 * 29 * 59^2 * 1051 * 2843 * 8807 * 16565669 * 741869857 * 40023525122959082069
6961,1,15,x^15 + x^14 + 92,2^4 * 3^2 * 5^2 * 11 * 19 * 29 * 571 * 1489 * 4098271 * 42695906595011 * 1344961965534665987711071
6961,1,16,x^16 + x^15 + 63,2^8 * 3 * 5 * 17 * 29 * 41 * 59^2 * 769 * 14561 * 103409 * 590921 * 89801021777 * 1830600320990931437809
6961,1,17,x^17 + x^16 + 89,2^4 * 3 * 5 * 29 * 7198141 * 16740853 * 522660275017403940371 * 482604213418263006333557419
6961,1,18,x^18 + x^17 + 84,2^5 * 3^3 * 5 * 7 * 19 * 29 * 59^2 * 127 * 523 * 571 * 1489 * 6921223 * 1096164829 * 198450524143 * 298610329615723192303
