p,r,n,poly,factorization
5683,1,2,x^2 + x + 2,2^3 * 3 * 7^2 * 29 * 947
5683,1,3,x^3 + x^2 + 9,2 * 3^2 * 373 * 947 * 28867
5683,1,4,x^4 + x^3 + 31,2^4 * 3 * 5 * 7^2 * 29 * 947 * 3229649
5683,1,5,x^5 + x^4 + 10,2 * 3 * 947 * 6259651 * 166662131
5683,1,6,x^6 + x^5 + 87,2^3 * 3^2 * 7^2 * 29 * 43 * 211 * 373 * 947 * 3559 * 28867
5683,1,7,x^7 + x^6 + 15,2 * 3 * 947 * 88117 * 382368986600848129
5683,1,8,x^8 + x^7 + 12,2^5 * 3 * 5 * 7^2 * 29 * 947 * 3229649 * 521531600863561
5683,1,9,x^9 + x^8 + 4,2 * 3^3 * 373 * 947 * 6949 * 28867 * 1615929352955738731
5683,1,10,x^10 + x^9 + 38,2^3 * 3 * 7^2 * 11 * 29 * 41 * 947 * 6259651 * 166662131 * 2312371824991
5683,1,11,x^11 + x^10 + 43,2 * 3 * 23 * 727 * 947 * 61403 * 34229546870836719071371970951
5683,1,12,x^12 + x^11 + 32,2^4 * 3^2 * 5 * 7^2 * 13 * 29 * 43 * 211 * 373 * 541 * 947 * 3559 * 24781 * 28867 * 3229649 * 5984821
5683,1,13,x^13 + x^12 + 42,2 * 3 * 947 * 1135032505484189193596600567929736599735901641
5683,1,14,x^14 + x^13 + 78,2^3 * 3 * 7^3 * 29 * 127 * 947 * 88117 * 89209 * 424696900024867 * 382368986600848129
5683,1,15,x^15 + x^14 + 28,2 * 3^2 * 31 * 373 * 947 * 3181 * 28867 * 6259651 * 166662131 * 11031116183745698901449131
5683,1,16,x^16 + x^15 + 17,2^6 * 3 * 5 * 7^2 * 17 * 29 * 947 * 379073 * 3229649 * 521531600863561 * 84414971662080353378881
5683,1,17,x^17 + x^16 + 60,2 * 3 * 947 * 21319 * 55533122530826699450379849980785346515362977926702235159
5683,1,18,x^18 + x^17 + 87,2^3 * 3^3 * 7^2 * 19 * 29 * 43 * 211 * 373 * 947 * 3559 * 4969 * 6949 * 28867 * 356815193364133453 * 1615929352955738731
5683,1,19,x^19 + x^18 + 39,2 * 3 * 947 * 38236156937026276288261530425009388102461963890446429538413281880253
5683,1,20,x^20 + x^19 + 97,2^4 * 3 * 5^2 * 7^2 * 11 * 29 * 41 * 947 * 3229649 * 6259651 * 166662131 * 2312371824991 * 217596161821990907851154400221
