p,r,n,poly,factorization
8849,1,2,x^2 + x + 15,2^5 * 3 * 5^2 * 7 * 59 * 79
8849,1,3,x^3 + x^2 + 12,2^4 * 7 * 13 * 79 * 6024127
8849,1,4,x^4 + x^3 + 30,2^6 * 3 * 5^2 * 7 * 37 * 59 * 79 * 97 * 10909
8849,1,5,x^5 + x^4 + 12,2^4 * 7 * 11 * 79 * 557484987013391
8849,1,6,x^6 + x^5 + 48,2^5 * 3^2 * 5^2 * 7 * 13 * 59 * 79 * 199 * 131149 * 6024127
8849,1,7,x^7 + x^6 + 48,2^4 * 7^2 * 71 * 79 * 966179598901977530183
8849,1,8,x^8 + x^7 + 3,2^7 * 3 * 5^2 * 7 * 17^2 * 37 * 59 * 79 * 97 * 4289 * 10909 * 2473391681
8849,1,9,x^9 + x^8 + 41,2^4 * 7 * 13 * 73 * 79 * 991 * 6024127 * 6636951683284144357
8849,1,10,x^10 + x^9 + 59,2^5 * 3 * 5^3 * 7 * 11 * 59 * 79 * 557484987013391 * 1226189803752301
8849,1,11,x^11 + x^10 + 75,2^4 * 7 * 79 * 1453 * 508817 * 445883157883043 * 8931877056640957
8849,1,12,x^12 + x^11 + 33,2^6 * 3^2 * 5^2 * 7 * 13 * 37 * 59 * 79 * 97 * 199 * 6121 * 10909 * 131149 * 6024127 * 1001738569081
8849,1,13,x^13 + x^12 + 19,2^4 * 7 * 79 * 1223 * 9340442021 * 372040879939 * 54249391784066993979973
8849,1,14,x^14 + x^13 + 21,2^5 * 3 * 5^2 * 7^2 * 29 * 59 * 71 * 79 * 578467 * 28618015098245399 * 966179598901977530183
8849,1,15,x^15 + x^14 + 15,2^4 * 7 * 11 * 13 * 31 * 79 * 2680471 * 6024127 * 66315498661 * 6822077255941 * 557484987013391
8849,1,16,x^16 + x^15 + 184,2^8 * 3 * 5^2 * 7 * 17^2 * 37 * 59 * 79 * 97 * 113 * 4289 * 10909 * 266890609 * 2473391681 * 623321100848462361953
8849,1,17,x^17 + x^16 + 51,2^4 * 7 * 79 * 239 * 5915048389501193177598850480163018667485121471954471397560959
8849,1,18,x^18 + x^17 + 47,2^5 * 3^3 * 5^2 * 7 * 13 * 19 * 59 * 73 * 79 * 199 * 991 * 131149 * 369487 * 6024127 * 22797706180600567 * 6636951683284144357
8849,1,19,x^19 + x^18 + 39,2^4 * 7 * 79 * 289259801 * 33185184344908951 * 49221687372441844751 * 234291092603212682108156851
8849,1,20,x^20 + x^19 + 37,2^6 * 3 * 5^3 * 7 * 11 * 37 * 59 * 79 * 97 * 101 * 10909 * 6916804849561 * 557484987013391 * 1226189803752301 * 53817889023487541
8849,2,2,x^4 + x^3 + 30,2^6 * 3 * 5^2 * 7 * 37 * 59 * 79 * 97 * 10909
8849,2,3,x^6 + x^5 + 48,2^5 * 3^2 * 5^2 * 7 * 13 * 59 * 79 * 199 * 131149 * 6024127
8849,2,4,x^8 + x^7 + 3,2^7 * 3 * 5^2 * 7 * 17^2 * 37 * 59 * 79 * 97 * 4289 * 10909 * 2473391681
8849,2,5,x^10 + x^9 + 59,2^5 * 3 * 5^3 * 7 * 11 * 59 * 79 * 557484987013391 * 1226189803752301
8849,2,6,x^12 + x^11 + 33,2^6 * 3^2 * 5^2 * 7 * 13 * 37 * 59 * 79 * 97 * 199 * 6121 * 10909 * 131149 * 6024127 * 1001738569081
8849,2,7,x^14 + x^13 + 21,2^5 * 3 * 5^2 * 7^2 * 29 * 59 * 71 * 79 * 578467 * 28618015098245399 * 966179598901977530183
8849,2,8,x^16 + x^15 + 184,2^8 * 3 * 5^2 * 7 * 17^2 * 37 * 59 * 79 * 97 * 113 * 4289 * 10909 * 266890609 * 2473391681 * 623321100848462361953
8849,2,9,x^18 + x^17 + 47,2^5 * 3^3 * 5^2 * 7 * 13 * 19 * 59 * 73 * 79 * 199 * 991 * 131149 * 369487 * 6024127 * 22797706180600567 * 6636951683284144357
8849,2,10,x^20 + x^19 + 37,2^6 * 3 * 5^3 * 7 * 11 * 37 * 59 * 79 * 97 * 101 * 10909 * 6916804849561 * 557484987013391 * 1226189803752301 * 53817889023487541
8849,3,2,x^6 + x^5 + 48,2^5 * 3^2 * 5^2 * 7 * 13 * 59 * 79 * 199 * 131149 * 6024127
8849,3,3,x^9 + x^8 + 41,2^4 * 7 * 13 * 73 * 79 * 991 * 6024127 * 6636951683284144357
8849,3,4,x^12 + x^11 + 33,2^6 * 3^2 * 5^2 * 7 * 13 * 37 * 59 * 79 * 97 * 199 * 6121 * 10909 * 131149 * 6024127 * 1001738569081
8849,3,5,x^15 + x^14 + 15,2^4 * 7 * 11 * 13 * 31 * 79 * 2680471 * 6024127 * 66315498661 * 6822077255941 * 557484987013391
8849,3,6,x^18 + x^17 + 47,2^5 * 3^3 * 5^2 * 7 * 13 * 19 * 59 * 73 * 79 * 199 * 991 * 131149 * 369487 * 6024127 * 22797706180600567 * 6636951683284144357
8849,4,2,x^8 + x^7 + 3,2^7 * 3 * 5^2 * 7 * 17^2 * 37 * 59 * 79 * 97 * 4289 * 10909 * 2473391681
8849,4,3,x^12 + x^11 + 33,2^6 * 3^2 * 5^2 * 7 * 13 * 37 * 59 * 79 * 97 * 199 * 6121 * 10909 * 131149 * 6024127 * 1001738569081
8849,4,4,x^16 + x^15 + 184,2^8 * 3 * 5^2 * 7 * 17^2 * 37 * 59 * 79 * 97 * 113 * 4289 * 10909 * 266890609 * 2473391681 * 623321100848462361953
8849,4,5,x^20 + x^19 + 37,2^6 * 3 * 5^3 * 7 * 11 * 37 * 59 * 79 * 97 * 101 * 10909 * 6916804849561 * 557484987013391 * 1226189803752301 * 53817889023487541
8849,5,2,x^10 + x^9 + 59,2^5 * 3 * 5^3 * 7 * 11 * 59 * 79 * 557484987013391 * 1226189803752301
8849,5,3,x^15 + x^14 + 15,2^4 * 7 * 11 * 13 * 31 * 79 * 2680471 * 6024127 * 66315498661 * 6822077255941 * 557484987013391
8849,5,4,x^20 + x^19 + 37,2^6 * 3 * 5^3 * 7 * 11 * 37 * 59 * 79 * 97 * 101 * 10909 * 6916804849561 * 557484987013391 * 1226189803752301 * 53817889023487541
8849,6,2,x^12 + x^11 + 33,2^6 * 3^2 * 5^2 * 7 * 13 * 37 * 59 * 79 * 97 * 199 * 6121 * 10909 * 131149 * 6024127 * 1001738569081
8849,6,3,x^18 + x^17 + 47,2^5 * 3^3 * 5^2 * 7 * 13 * 19 * 59 * 73 * 79 * 199 * 991 * 131149 * 369487 * 6024127 * 22797706180600567 * 6636951683284144357
8849,7,2,x^14 + x^13 + 21,2^5 * 3 * 5^2 * 7^2 * 29 * 59 * 71 * 79 * 578467 * 28618015098245399 * 966179598901977530183
8849,8,2,x^16 + x^15 + 184,2^8 * 3 * 5^2 * 7 * 17^2 * 37 * 59 * 79 * 97 * 113 * 4289 * 10909 * 266890609 * 2473391681 * 623321100848462361953
