p,n,poly,factorization
2879,2,x^2 + x + 7,2^7 * 3^2 * 5 * 1439
2879,3,x^3 + x^2 + 2,2 * 7 * 109 * 1439 * 10867
2879,4,x^4 + x^3 + 13,2^8 * 3^2 * 5 * 41 * 1439 * 101081
2879,5,x^5 + x^4 + 12,2 * 401 * 1439 * 171385139441
2879,6,x^6 + x^5 + 34,2^7 * 3^3 * 5 * 7 * 109 * 199 * 1439 * 10867 * 13879
2879,7,x^7 + x^6 + 19,2 * 43 * 1439 * 91253 * 1149373 * 126306083
2879,8,x^8 + x^7 + 47,2^9 * 3^2 * 5 * 41 * 1439 * 96281 * 101081 * 356776361
2879,9,x^9 + x^8 + 10,2 * 7 * 73 * 109 * 271 * 1439 * 10867 * 3719899 * 7737963733
2879,10,x^10 + x^9 + 21,2^7 * 3^2 * 5^2 * 11 * 31 * 401 * 1439 * 40280184701 * 171385139441
2879,11,x^11 + x^10 + 20,2 * 23 * 1439 * 1701530303295976047691222472013287
2879,12,x^12 + x^11 + 86,2^8 * 3^3 * 5 * 7 * 13 * 41 * 109 * 199 * 1439 * 10429 * 10867 * 13879 * 101081 * 506734633
2879,13,x^13 + x^12 + 20,2 * 1439 * 210809 * 557857 * 3882955597 * 710356558369506019661
2879,14,x^14 + x^13 + 56,2^7 * 3^2 * 5 * 43 * 71 * 1439 * 91253 * 1149373 * 126306083 * 8017534135668727937
2879,15,x^15 + x^14 + 5,2 * 7 * 61 * 109 * 401 * 1439 * 10867 * 171385139441 * 77348626951062943365875221
2879,16,x^16 + x^15 + 104,2^10 * 3^2 * 5 * 17 * 41 * 977 * 1439 * 96281 * 101081 * 356776361 * 142088797314623937189409
2879,17,x^17 + x^16 + 19,2 * 1439 * 2551 * 6053 * 94522689155053065737 * 15268638471506880433527156451
2879,18,x^18 + x^17 + 149,2^7 * 3^4 * 5 * 7 * 19 * 37 * 73 * 109 * 199 * 271 * 1439 * 5923 * 10867 * 13879 * 167311 * 3719899 * 272462779 * 7737963733
2879,19,x^19 + x^18 + 49,2 * 1439 * 74177 * 591091 * 323302407726332123495683 * 13030716387995375974916631401
2879,20,x^20 + x^19 + 21,2^8 * 3^2 * 5^2 * 11 * 31 * 41 * 401 * 1439 * 101081 * 40280184701 * 171385139441 * 4719905099754599873398567681
2879,21,x^21 + x^20 + 90,2 * 7^2 * 43 * 109 * 1439 * 10867 * 91253 * 1149373 * 1870723 * 3925783 * 126306083 * 6305438402133567782706174667
2879,22,x^22 + x^21 + 104,2^7 * 3^2 * 5 * 23 * 463 * 1439 * 100500401 * 840459983309445846554197 * 1701530303295976047691222472013287
2879,23,x^23 + x^22 + 12,2 * 47 * 1439 * 70979 * 317171 * 1797995281799177 * 6670490177916235211455843405940759053249362528751
