p,	e,	result
2,	1,	Regular
2,	2,	Regular
2,	3,	Regular
2,	4,	Regular
2,	5,	Regular
2,	6,	Regular
2,	7,	Regular
2,	8,	Regular
2,	9,	Regular
2,	10,	Regular
2,	11,	Regular
3,	1,	x^14 + x^13 + x^5 + 2	2^3 * 547 * 1093
3,	2,	Regular
3,	3,	x^42 + x^41 + 2*x^7 + 2*x + 2	2^3 * 7^2 * 13 * 43 * 547 * 1093 * 2269 * 368089
3,	4,	Regular
3,	5,	True	
3,	6,	Regular
3,	7,	True	
5,	1,	x^14 + x^13 + x^3 + 3	2^3 * 3 * 29 * 449 * 19531
5,	2,	Regular
5,	3,	True	
5,	4,	Regular
5,	5,	True	
7,	1,	Regular
7,	2,	Regular
7,	3,	Regular
7,	4,	Regular
11,	1,	Regular
11,	2,	Regular
11,	3,	Regular
13,	1,	x^14 + x^13 + 2	2^3 * 3 * 7^2 * 29 * 22079 * 5229043
13,	2,	Regular
13,	3,	True	
17,	1,	x^14 + x^13 + x + 6	2^5 * 3^2 * 22796593 * 25646167
17,	2,	Regular
19,	1,	x^14 + x^13 + x + 14	2^3 * 3^2 * 5 * 197 * 701 * 70841 * 226871
19,	2,	Regular
23,	1,	Regular
23,	2,	Regular
29,	1,	Regular
29,	2,	Regular
31,	1,	x^14 + x^13 + 13	2^6 * 3 * 5 * 11971 * 71821 * 917087137
31,	2,	Regular
37,	1,	Regular
37,	2,	Regular
41,	1,	x^14 + x^13 + 11	2^4 * 3 * 5 * 7^2 * 43 * 71 * 9329993 * 113229229
41,	2,	Regular
43,	1,	Regular
43,	2,	Regular
47,	1,	True	2^5 * 3 * 23 * 43 * 5881 * 1794703 * 256128979
47,	2,	Regular
53,	1,	Regular
53,	2,	Regular
59,	1,	True	2^3 * 3 * 5 * 29 * 43 * 281 * 757 * 2927 * 4691 * 14170661
59,	2,	Regular
61,	1,	True	2^3 * 3 * 5 * 31 * 50689400581 * 52379047267
61,	2,	Regular
67,	1,	Regular
71,	1,	Regular
73,	1,	True	2^4 * 3^2 * 37 * 149289169177 * 153436090543
79,	1,	Regular
83,	1,	True	2^3 * 3 * 7^2 * 29 * 41 * 113 * 197 * 2073121 * 11411291417
89,	1,	True	2^4 * 3^2 * 5 * 11 * 329617 * 1491001 * 502628805631
97,	1,	True	2^6 * 3 * 7^3 * 43 * 71 * 113 * 967 * 14680513 * 20241187
101,	1,	True	2^3 * 3 * 5^2 * 17 * 71 * 15100497917 * 1051113090301
103,	1,	True	2^4 * 3 * 13 * 17 * 29 * 71 * 407191 * 2904217 * 585604027
107,	1,	Regular
109,	1,	Regular
113,	1,	Regular
127,	1,	Regular
131,	1,	True	
137,	1,	Regular
139,	1,	True	
149,	1,	Regular
151,	1,	Regular
157,	1,	True	
163,	1,	Regular
167,	1,	True	
173,	1,	True	
179,	1,	Regular
181,	1,	True	
191,	1,	Regular
193,	1,	Regular
197,	1,	Regular
