p,	e,	result
2,	1,	x^22 + x^21 + 1	3 * 23 * 89 * 683
2,	2,	Regular
2,	3,	x^66 + x^65 + x^7 + x^2 + 1	3^2 * 7 * 23 * 67 * 89 * 683 * 20857 * 599479
2,	4,	Regular
2,	5,	True	3 * 11^2 * 23 * 31 * 89 * 683 * 881 * 2971 * 3191 * 201961 * 48912491
2,	6,	Regular
2,	7,	True	3 * 23 * 43 * 89 * 127 * 617 * 683 * 78233 * 35532364099 * 581283643249112959
2,	8,	Regular
2,	9,	True	
2,	10,	Regular
2,	11,	True	
2,	12,	Regular
2,	13,	True	
3,	1,	Regular
3,	2,	Regular
3,	3,	Regular
3,	4,	Regular
3,	5,	Regular
3,	6,	Regular
3,	7,	Regular
3,	8,	Regular
5,	1,	Regular
5,	2,	Regular
5,	3,	Regular
5,	4,	Regular
5,	5,	Regular
7,	1,	x^22 + x^21 + x + 3	2^4 * 3 * 23 * 1123 * 293459 * 10746341
7,	2,	Regular
7,	3,	True	
7,	4,	Regular
11,	1,	Regular
11,	2,	Regular
11,	3,	Regular
13,	1,	x^22 + x^21 + x + 2	2^3 * 3 * 7 * 23 * 419 * 859 * 18041 * 128011456717
13,	2,	Regular
13,	3,	True	
17,	1,	x^22 + x^21 + 3*x + 11	2^5 * 3^2 * 23 * 947 * 87415373 * 2141993519227
17,	2,	Regular
17,	3,	True	
19,	1,	x^22 + x^21 + 2*x + 13	2^3 * 3^2 * 5 * 23 * 104281 * 62060021 * 253239693257
19,	2,	Regular
19,	3,	True	
23,	1,	Regular
23,	2,	Regular
29,	1,	x^22 + 2*x^21 + 27	2^3 * 3 * 5 * 7 * 23 * 5618383 * 72384467 * 18944890940537
29,	2,	Regular
31,	1,	Regular
31,	2,	Regular
37,	1,	Regular
37,	2,	Regular
41,	1,	x^22 + x^21 + 4*x + 34	2^4 * 3 * 5 * 7 * 23 * 2311 * 132947 * 4499415031 * 5669871130991
41,	2,	Regular
43,	1,	x^22 + x^21 + 12	2^3 * 3 * 7 * 11^2 * 23 * 67 * 359063 * 3470039 * 6038099 * 3664405207
43,	2,	Regular
47,	1,	Regular
47,	2,	Regular
53,	1,	Regular
53,	2,	Regular
59,	1,	Regular
59,	2,	Regular
61,	1,	x^22 + x^21 + 31	2^3 * 3 * 5 * 23 * 31 * 199 * 331 * 859 * 2179 * 42308091563 * 4242586390571
61,	2,	Regular
67,	1,	Regular
67,	2,	Regular
71,	1,	Regular
71,	2,	Regular
73,	1,	True	2^4 * 3^2 * 23 * 37 * 89 * 3323 * 461561 * 123518407 * 47635391067166673
73,	2,	Regular
79,	1,	x^22 + x^21 + 30	2^5 * 3 * 5 * 13 * 23 * 727 * 5479 * 81973 * 6821422367 * 1750258119644519
79,	2,	Regular
83,	1,	True	2^3 * 3 * 7 * 23 * 41 * 13003 * 75527 * 19951801 * 15991874273 * 33409485649
83,	2,	Regular
89,	1,	Regular
89,	2,	Regular
97,	1,	Regular
97,	2,	Regular
101,	1,	True	2^3 * 3 * 5^2 * 17 * 23 * 463 * 146543 * 1876403 * 1612088465989 * 2585122674619
101,	2,	Regular
103,	1,	Regular
