p,	r,	result
2,	1,	Regular
2,	2,	Regular
2,	3,	Regular
2,	4,	Regular
2,	5,	Regular
2,	6,	Regular
2,	7,	Regular
2,	8,	Regular
2,	9,	Regular
2,	10,	Regular
2,	11,	Regular
2,	12,	Regular
2,	13,	Regular
2,	14,	Regular
2,	15,	Regular
2,	16,	Regular
2,	17,	Regular
3,	1,	Regular
3,	2,	Regular
3,	3,	Regular
3,	4,	Regular
3,	5,	Regular
3,	6,	Regular
3,	7,	Regular
3,	8,	Regular
3,	9,	Regular
3,	10,	Regular
5,	1,	Regular
5,	2,	Regular
5,	3,	Regular
5,	4,	Regular
5,	5,	Regular
5,	6,	Regular
5,	7,	Regular
7,	1,	Regular
7,	2,	Regular
7,	3,	Regular
7,	4,	Regular
7,	5,	Regular
7,	6,	Regular
11,	1,	Regular
11,	2,	Regular
11,	3,	Regular
11,	4,	Regular
13,	1,	Regular
13,	2,	Regular
13,	3,	Regular
13,	4,	Regular
17,	1,	Regular
17,	2,	Regular
17,	3,	Regular
17,	4,	Regular
19,	1,	Regular
19,	2,	Regular
19,	3,	Regular
19,	4,	Regular
23,	1,	Regular
23,	2,	Regular
23,	3,	Regular
29,	1,	Regular
29,	2,	Regular
29,	3,	Regular
31,	1,	Regular
31,	2,	Regular
31,	3,	Regular
37,	1,	Regular
37,	2,	Regular
37,	3,	Regular
41,	1,	Regular
41,	2,	Regular
41,	3,	Regular
43,	1,	Regular
43,	2,	Regular
43,	3,	Regular
47,	1,	Regular
47,	2,	Regular
47,	3,	Regular
53,	1,	Regular
53,	2,	Regular
59,	1,	Regular
59,	2,	Regular
61,	1,	Regular
61,	2,	Regular
67,	1,	Regular
67,	2,	Regular
71,	1,	Regular
71,	2,	Regular
73,	1,	Regular
73,	2,	Regular
79,	1,	Regular
79,	2,	Regular
83,	1,	Regular
83,	2,	Regular
89,	1,	Regular
89,	2,	Regular
97,	1,	Regular
97,	2,	Regular
101,	1,	Regular
101,	2,	Regular
103,	1,	Regular
103,	2,	Regular
107,	1,	Regular
107,	2,	Regular
109,	1,	Regular
109,	2,	Regular
113,	1,	Regular
113,	2,	Regular
127,	1,	Regular
127,	2,	Regular
131,	1,	Regular
131,	2,	Regular
137,	1,	Regular
137,	2,	Regular
139,	1,	Regular
139,	2,	Regular
149,	1,	Regular
149,	2,	Regular
151,	1,	Regular
151,	2,	Regular
157,	1,	Regular
157,	2,	Regular
163,	1,	Regular
163,	2,	Regular
167,	1,	Regular
167,	2,	Regular
173,	1,	Regular
173,	2,	Regular
179,	1,	Regular
179,	2,	Regular
181,	1,	Regular
181,	2,	Regular
191,	1,	Regular
191,	2,	Regular
193,	1,	Regular
193,	2,	Regular
197,	1,	Regular
197,	2,	Regular
199,	1,	Regular
199,	2,	Regular
211,	1,	Regular
211,	2,	Regular
223,	1,	Regular
223,	2,	Regular
227,	1,	Regular
227,	2,	Regular
229,	1,	Regular
229,	2,	Regular
