p,	r,	result
593,	1,	Regular
599,	1,	Regular
601,	1,	Regular
607,	1,	Regular
613,	1,	Regular
617,	1,	Regular
619,	1,	Regular
631,	1,	Regular
641,	1,	Regular
643,	1,	Regular
647,	1,	Regular
653,	1,	Regular
659,	1,	Regular
661,	1,	Regular
673,	1,	Regular
677,	1,	Regular
683,	1,	Regular
691,	1,	Regular
701,	1,	Regular
709,	1,	Regular
719,	1,	Regular
727,	1,	Regular
733,	1,	Regular
739,	1,	Regular
743,	1,	Regular
751,	1,	Regular
757,	1,	Regular
761,	1,	Regular
769,	1,	Regular
773,	1,	Regular
787,	1,	Regular
797,	1,	Regular
809,	1,	Regular
811,	1,	Regular
821,	1,	Regular
823,	1,	Regular
827,	1,	Regular
829,	1,	Regular
839,	1,	Regular
853,	1,	Regular
857,	1,	Regular
859,	1,	Regular
863,	1,	Regular
877,	1,	Regular
881,	1,	Regular
883,	1,	Regular
887,	1,	Regular
907,	1,	Regular
911,	1,	Regular
919,	1,	Regular
929,	1,	Regular
937,	1,	Regular
941,	1,	Regular
947,	1,	Regular
953,	1,	Regular
967,	1,	Regular
971,	1,	Regular
977,	1,	Regular
983,	1,	Regular
991,	1,	Regular
997,	1,	Regular
1009,	1,	Regular
1013,	1,	Regular
1019,	1,	Regular
1021,	1,	Regular
1031,	1,	Regular
1033,	1,	Regular
1039,	1,	Regular
1049,	1,	Regular
1051,	1,	Regular
1061,	1,	Regular
1063,	1,	Regular
1069,	1,	Regular
1087,	1,	Regular
1091,	1,	Regular
1093,	1,	Regular
1097,	1,	Regular
1103,	1,	Regular
1109,	1,	Regular
1117,	1,	Regular
1123,	1,	Regular
1129,	1,	Regular
1151,	1,	Regular
1153,	1,	Regular
1163,	1,	Regular
1171,	1,	Regular
1181,	1,	Regular
1187,	1,	Regular
1193,	1,	Regular
1201,	1,	Regular
1213,	1,	Regular
1217,	1,	Regular
1223,	1,	Regular
1229,	1,	Regular
1231,	1,	Regular
1237,	1,	Regular
1249,	1,	Regular
1259,	1,	Regular
1277,	1,	Regular
1279,	1,	Regular
1283,	1,	Regular
1289,	1,	Regular
1291,	1,	Regular
1297,	1,	Regular
1301,	1,	Regular
1303,	1,	Regular
1307,	1,	Regular
1319,	1,	Regular
1321,	1,	Regular
1327,	1,	Regular
1361,	1,	Regular
1367,	1,	Regular
1373,	1,	Regular
1381,	1,	Regular
1399,	1,	Regular
1409,	1,	Regular
1423,	1,	Regular
1427,	1,	Regular
1429,	1,	Regular
1433,	1,	Regular
1439,	1,	Regular
1447,	1,	Regular
1451,	1,	Regular
1453,	1,	Regular
1459,	1,	Regular
1471,	1,	Regular
1481,	1,	Regular
1483,	1,	Regular
1487,	1,	Regular
1489,	1,	Regular
1493,	1,	Regular
1499,	1,	Regular
1511,	1,	Regular
1523,	1,	Regular
1531,	1,	Regular
1543,	1,	Regular
1549,	1,	Regular
1553,	1,	Regular
1559,	1,	Regular
1567,	1,	Regular
1571,	1,	Regular
1579,	1,	Regular
1583,	1,	Regular
1597,	1,	Regular
1601,	1,	Regular
1607,	1,	Regular
1609,	1,	Regular
1613,	1,	Regular
1619,	1,	Regular
1621,	1,	Regular
1627,	1,	Regular
1637,	1,	Regular
1657,	1,	Regular
1663,	1,	Regular
1667,	1,	Regular
1669,	1,	Regular
1693,	1,	Regular
1697,	1,	Regular
1699,	1,	Regular
1709,	1,	Regular
1721,	1,	Regular
1723,	1,	Regular
1733,	1,	Regular
1741,	1,	Regular
1747,	1,	Regular
1753,	1,	Regular
1759,	1,	Regular
1777,	1,	Regular
1783,	1,	Regular
1787,	1,	Regular
1789,	1,	Regular
1801,	1,	Regular
1811,	1,	Regular
1823,	1,	Regular
1831,	1,	Regular
1847,	1,	Regular
1861,	1,	Regular
1867,	1,	Regular
1871,	1,	Regular
1873,	1,	Regular
1877,	1,	Regular
1879,	1,	Regular
1889,	1,	Regular
1901,	1,	Regular
1907,	1,	Regular
1913,	1,	Regular
1931,	1,	Regular
1933,	1,	Regular
1949,	1,	Regular
1951,	1,	Regular
1973,	1,	Regular
1979,	1,	Regular
1987,	1,	Regular
1993,	1,	Regular
1997,	1,	Regular
1999,	1,	Regular
2003,	1,	Regular
2011,	1,	Regular
2017,	1,	Regular
2027,	1,	Regular
2029,	1,	Regular
2039,	1,	Regular
2053,	1,	Regular
2063,	1,	Regular
2069,	1,	Regular
2081,	1,	Regular
2083,	1,	Regular
2087,	1,	Regular
2089,	1,	Regular
2099,	1,	Regular
2111,	1,	Regular
2113,	1,	Regular
2129,	1,	Regular
2131,	1,	Regular
2137,	1,	Regular
2141,	1,	Regular
2143,	1,	Regular
2153,	1,	Regular
2161,	1,	Regular
2179,	1,	Regular
2203,	1,	Regular
2207,	1,	Regular
2213,	1,	Regular
2221,	1,	Regular
2237,	1,	Regular
2239,	1,	Regular
2243,	1,	Regular
2251,	1,	Regular
2267,	1,	Regular
2269,	1,	Regular
2273,	1,	Regular
2281,	1,	Regular
2287,	1,	Regular
2293,	1,	Regular
2297,	1,	Regular
2309,	1,	Regular
2311,	1,	Regular
2333,	1,	Regular
2339,	1,	Regular
2341,	1,	Regular
2347,	1,	Regular
2351,	1,	Regular
2357,	1,	Regular
2371,	1,	Regular
2377,	1,	Regular
2381,	1,	Regular
2383,	1,	Regular
2389,	1,	Regular
2393,	1,	Regular
2399,	1,	Regular
2411,	1,	Regular
2417,	1,	Regular
2423,	1,	Regular
2437,	1,	Regular
2441,	1,	Regular
2447,	1,	Regular
2459,	1,	Regular
2467,	1,	Regular
2473,	1,	Regular
2477,	1,	Regular
2503,	1,	Regular
2521,	1,	Regular
2531,	1,	Regular
2539,	1,	Regular
2543,	1,	Regular
2549,	1,	Regular
2551,	1,	Regular
2557,	1,	Regular
2579,	1,	Regular
2591,	1,	Regular
2593,	1,	Regular
2609,	1,	Regular
2617,	1,	Regular
2621,	1,	Regular
2633,	1,	Regular
2647,	1,	Regular
2657,	1,	Regular
2659,	1,	Regular
2663,	1,	Regular
2671,	1,	Regular
2677,	1,	Regular
2683,	1,	Regular
2687,	1,	Regular
2689,	1,	Regular
2693,	1,	Regular
2699,	1,	Regular
2707,	1,	Regular
2711,	1,	Regular
2713,	1,	Regular
2719,	1,	Regular
2729,	1,	Regular
2731,	1,	Regular
2741,	1,	Regular
2749,	1,	Regular
2753,	1,	Regular
2767,	1,	Regular
2777,	1,	Regular
2789,	1,	Regular
2791,	1,	Regular
2797,	1,	Regular
2801,	1,	Regular
2803,	1,	Regular
2819,	1,	Regular
2833,	1,	Regular
2837,	1,	Regular
2843,	1,	Regular
2851,	1,	Regular
2857,	1,	Regular
2861,	1,	Regular
2879,	1,	Regular
2887,	1,	Regular
2897,	1,	Regular
2903,	1,	Regular
2909,	1,	Regular
2917,	1,	Regular
2927,	1,	Regular
2939,	1,	Regular
2953,	1,	Regular
2957,	1,	Regular
2963,	1,	Regular
2969,	1,	Regular
2971,	1,	Regular
2999,	1,	Regular
3001,	1,	Regular
3011,	1,	Regular
3019,	1,	Regular
3023,	1,	Regular
3037,	1,	Regular
3041,	1,	Regular
3049,	1,	Regular
3061,	1,	Regular
3067,	1,	Regular
3079,	1,	Regular
3083,	1,	Regular
3089,	1,	Regular
3109,	1,	Regular
3119,	1,	Regular
3121,	1,	Regular
3137,	1,	Regular
3163,	1,	Regular
3167,	1,	Regular
3169,	1,	Regular
3181,	1,	Regular
3187,	1,	Regular
3191,	1,	Regular
3203,	1,	Regular
3209,	1,	Regular
3217,	1,	Regular
3221,	1,	Regular
3229,	1,	Regular
3251,	1,	Regular
3253,	1,	Regular
3257,	1,	Regular
3259,	1,	Regular
3271,	1,	Regular
3299,	1,	Regular
3301,	1,	Regular
3307,	1,	Regular
3313,	1,	Regular
3319,	1,	Regular
3323,	1,	Regular
3329,	1,	Regular
3331,	1,	Regular
3343,	1,	Regular
3347,	1,	Regular
3359,	1,	Regular
3361,	1,	Regular
3371,	1,	Regular
3373,	1,	Regular
3389,	1,	Regular
3391,	1,	Regular
3407,	1,	Regular
3413,	1,	Regular
3433,	1,	Regular
3449,	1,	Regular
3457,	1,	Regular
3461,	1,	Regular
3463,	1,	Regular
3467,	1,	Regular
3469,	1,	Regular
3491,	1,	Regular
3499,	1,	Regular
3511,	1,	Regular
3517,	1,	Regular
3527,	1,	Regular
3529,	1,	Regular
3533,	1,	Regular
3539,	1,	Regular
3541,	1,	Regular
3547,	1,	Regular
3557,	1,	Regular
3559,	1,	Regular
3571,	1,	Regular
3581,	1,	Regular
3583,	1,	Regular
3593,	1,	Regular
3607,	1,	Regular
3613,	1,	Regular
3617,	1,	Regular
3623,	1,	Regular
3631,	1,	Regular
3637,	1,	Regular
3643,	1,	Regular
3659,	1,	Regular
3671,	1,	Regular
3673,	1,	Regular
3677,	1,	Regular
3691,	1,	Regular
3697,	1,	Regular
3701,	1,	Regular
3709,	1,	Regular
3719,	1,	Regular
3727,	1,	Regular
3733,	1,	Regular
3739,	1,	Regular
3761,	1,	Regular
3767,	1,	Regular
3769,	1,	Regular
3779,	1,	Regular
3793,	1,	Regular
3797,	1,	Regular
3803,	1,	Regular
3821,	1,	Regular
3823,	1,	Regular
3833,	1,	Regular
3847,	1,	Regular
3851,	1,	Regular
3853,	1,	Regular
3863,	1,	Regular
3877,	1,	Regular
3881,	1,	Regular
3889,	1,	Regular
3907,	1,	Regular
3911,	1,	Regular
3917,	1,	Regular
3919,	1,	Regular
3923,	1,	Regular
3929,	1,	Regular
3931,	1,	Regular
3943,	1,	Regular
3947,	1,	Regular
3967,	1,	Regular
3989,	1,	Regular
4001,	1,	Regular
4003,	1,	Regular
4007,	1,	Regular
4013,	1,	Regular
4019,	1,	Regular
4021,	1,	Regular
4027,	1,	Regular
4049,	1,	Regular
4051,	1,	Regular
4057,	1,	Regular
4073,	1,	Regular
4079,	1,	Regular
4091,	1,	Regular
4093,	1,	Regular
4099,	1,	Regular
4111,	1,	Regular
4127,	1,	Regular
4129,	1,	Regular
4133,	1,	Regular
4139,	1,	Regular
4153,	1,	Regular
4157,	1,	Regular
4159,	1,	Regular
