p,	e,	result
2,	1,	x^86 + x^85 + x^12 + x + 1	3 * 431 * 9719 * 2099863 * 2932031007403
2,	2,	Regular
2,	3,	x^258 + x^257 + x^108 + x^2 + 1	3^2 * 7 * 431 * 1033 * 9719 * 2099863 * 1591582393 * 2932031007403 * 15686603697451 * 11053036065049294753459639
2,	4,	Regular
2,	5,	x^430 + x^429 + x^40 + x + 1	3 * 11 * 31 * 431 * 1721 * 9719 * 2099863 * 9084611 * 731516431 * 514851898711 * 2932031007403 * 297927289744047764444862191 * 59904608378705661377430182608711698924130721
2,	6,	Regular
2,	7,	True	3 * 43^2 * 127 * 431 * 9719 * 490631 * 2099863 * 2932031007403 * 365505823711978039310711 * 20336952491372732458100553842885784919705927999 * 250496677636134194455624482113419891241717626649461375803326671768162580233
2,	8,	Regular
2,	9,	True	3^3 * 7 * 19 * 73 * 431 * 1033 * 9719 * 2099863 * 11492353 * 1591582393 * 2932031007403 * 15686603697451 * 22763003975641 * 6834040335349578249140287 * 11053036065049294753459639 * 109053678968940302364939183451 * 3548950581098263559084652467359 * 74511568294243628863306502825698825239868474219
2,	10,	Regular
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	Regular
2,	15,	True	
2,	16,	Regular
2,	17,	True	
3,	1,	x^86 + x^85 + x^47 + 2	2^3 * 431 * 380808546861411923 * 82064241848634269407
3,	2,	Regular
3,	3,	x^258 + x^257 + x^29 + 2	2^3 * 7 * 13 * 431 * 1549 * 4129 * 27091 * 1651439941 * 2199072289 * 28395735937 * 7822354593043 * 380808546861411923 * 82064241848634269407 * 912851565662857110894244969
3,	4,	Regular
3,	5,	True	2^3 * 11^2 * 61 * 431 * 8477881 * 380808546861411923 * 82064241848634269407 * 14491125481091320910774351 * 781053905037712555192394595228515676273221687831 * 190338208254605311413088422440531439424369193587825299581510007110292179825245201
3,	6,	Regular
3,	7,	True	
3,	8,	Regular
3,	9,	True	
3,	10,	Regular
3,	11,	True	
5,	1,	x^86 + x^85 + 4*x^15 + 3	2^3 * 3 * 1549 * 9547 * 1644512641 * 7866608083 * 1628744948329 * 172827552198815888791
5,	2,	Regular
5,	3,	x^258 + x^257 + 2*x^53 + 3	2^3 * 3^2 * 7 * 31 * 1549 * 9547 * 18471511 * 327845761 * 558801427 * 1420986601 * 1644512641 * 7866608083 * 1628744948329 * 172827552198815888791 * 43955934961951833386625799 * 51349797354047205216257689 * 236419892853700126919767791480523
5,	4,	Regular
5,	5,	True	
5,	6,	Regular
5,	7,	True	
7,	1,	x^86 + x^85 + 4*x^5 + 5	2^4 * 3 * 947 * 19867 * 20899 * 163573 * 235211 * 3799051 * 4749781 * 166003607842448777 * 2192537062271178641
7,	2,	Regular
7,	3,	True	2^4 * 3^2 * 19 * 43^2 * 947 * 10837 * 19867 * 20899 * 163573 * 235211 * 3799051 * 4749781 * 1857499496101 * 63350976270733 * 166003607842448777 * 2192537062271178641 * 175446584281395198837259 * 499711620081214598029911373 * 694623197348682715265952229891 * 2778730173523233938297878335091
7,	4,	Regular
7,	5,	True	
7,	6,	Regular
11,	1,	Regular
11,	2,	Regular
11,	3,	Regular
11,	4,	Regular
11,	5,	Regular
13,	1,	Regular
13,	2,	Regular
13,	3,	Regular
13,	4,	Regular
17,	1,	Regular
17,	2,	Regular
17,	3,	Regular
17,	4,	Regular
19,	1,	x^86 + x^85 + 7*x^2 + 2	2^3 * 3^2 * 5 * 2753 * 45597803 * 55578787747850091391 * 69456939989229889776307 * 18917672548149688895557513 * 28461948730641665973894996037
19,	2,	Regular
19,	3,	True	
19,	4,	Regular
23,	1,	Regular
23,	2,	Regular
23,	3,	Regular
29,	1,	x^86 + x^85 + 2*x + 3	2^3 * 3 * 5 * 7 * 173 * 13933 * 213633547 * 1137465695629 * 2027049776208383967809 * 11045615817704604074776549073 * 52990215639704354810299474687300887696772792277
29,	2,	Regular
29,	3,	True	
31,	1,	Regular
31,	2,	Regular
31,	3,	Regular
37,	1,	x^86 + x^85 + 5	2^3 * 3^2 * 19 * 173 * 1033 * 1055189557 * 99576393613 * 798246265376983 * 96390918207548052857 * 98184340691652547469 * 633412840509556667989937 * 5966597833179332152946555293
37,	2,	Regular
37,	3,	True	
41,	1,	Regular
41,	2,	Regular
41,	3,	Regular
43,	1,	Regular
43,	2,	Regular
43,	3,	Regular
47,	1,	Regular
47,	2,	Regular
47,	3,	Regular
53,	1,	Regular
53,	2,	Regular
53,	3,	Regular
59,	1,	Regular
59,	2,	Regular
61,	1,	x^86 + x^85 + 18	2^3 * 3 * 5 * 31 * 5956707000538571084106691363703 * 13225406060478424500404040631292115391 * 71677392966274019818913422653495727171 * 164446796105869041894952007169259881366870041
61,	2,	Regular
67,	1,	Regular
67,	2,	Regular
