p,	r,	result
2,	1,	x^88 + x^87 + x^33 + x + 1	3 * 5 * 17 * 23 * 89 * 353 * 397 * 683 * 2113 * 2931542417
2,	2,	Regular
2,	3,	x^264 + x^263 + x^153 + x^3 + 1	3^2 * 5 * 7 * 13 * 17 * 23 * 67 * 89 * 241 * 353 * 397 * 683 * 2113 * 7393 * 20857 * 312709 * 599479 * 4327489 * 1761345169 * 2931542417 * 98618273953
2,	4,	Regular
2,	5,	x^440 + x^439 + x^190 + x^2 + 1	3 * 5^2 * 11^2 * 17 * 23 * 31 * 41 * 89 * 353 * 397 * 683 * 881 * 2113 * 2971 * 3191 * 61681 * 109121 * 148721 * 201961 * 48912491 * 2931542417 * 3404676001 * 415878438361 * 3630105520141 * 11035465708081 * 2546717317681681
2,	6,	Regular
2,	7,	x^616 + x^615 + x^284 + x^2 + 1	3 * 5 * 17 * 23 * 29 * 43 * 89 * 113 * 127 * 353 * 397 * 617 * 683 * 2113 * 8317 * 13553 * 78233 * 15790321 * 869467061 * 2931542417 * 3019242689 * 35532364099 * 74153335873 * 76096559910757 * 581283643249112959 * 1867935023317328048519811865525337712653538206737478396129
2,	8,	Regular
2,	9,	True	3^3 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 67 * 73 * 89 * 109 * 199 * 241 * 353 * 397 * 433 * 683 * 2113 * 5347 * 7393 * 20857 * 38737 * 42373 * 153649 * 235621 * 312709 * 599479 * 4327489 * 1761345169 * 2931542417 * 33057806959 * 98618273953 * 311712063697 * 8463901912489 * 15975607282273 * 242099935645987 * 5669586229480120735856356719714111819572775485914444634179633
2,	10,	Regular
2,	11,	True	
2,	12,	Regular
2,	13,	True	
2,	14,	Regular
2,	15,	True	
2,	16,	Regular
2,	17,	True	
2,	18,	Regular
3,	1,	Regular
3,	2,	Regular
3,	3,	Regular
3,	4,	Regular
3,	5,	Regular
3,	6,	Regular
3,	7,	Regular
3,	8,	Regular
3,	9,	Regular
3,	10,	Regular
3,	11,	Regular
5,	1,	Regular
5,	2,	Regular
5,	3,	Regular
5,	4,	Regular
5,	5,	Regular
5,	6,	Regular
5,	7,	Regular
7,	1,	x^88 + x^87 + x^23 + 5	2^6 * 3 * 5^2 * 23 * 89 * 661 * 1123 * 1201 * 1409 * 8713 * 293459 * 10746341 * 83960385389 * 8206973609150536446402438593
7,	2,	Regular
7,	3,	x^264 + x^263 + x^27 + x + 5	2^6 * 3^2 * 5^2 * 13 * 19 * 23 * 43 * 67 * 73 * 89 * 181 * 193 * 409 * 661 * 1123 * 1201 * 1321 * 1409 * 3631 * 8713 * 29569 * 293459 * 532489 * 1532917 * 2784937 * 10746341 * 12323587 * 678240817 * 83960385389 * 98138029441 * 116320403133001 * 1357105535093947 * 8206973609150536446402438593 * 587453171111898352098840216374214882713731074769
7,	4,	Regular
7,	5,	True	
7,	6,	Regular
11,	1,	Regular
11,	2,	Regular
11,	3,	Regular
11,	4,	Regular
11,	5,	Regular
13,	1,	x^88 + 2*x^87 + x^2 + 2	2^5 * 3 * 5 * 7 * 17 * 23 * 89 * 419 * 859 * 5281 * 6073 * 14281 * 18041 * 128011456717 * 3577574298489429481 * 668229430151772307653060812800711311233
13,	2,	Regular
13,	3,	True	
13,	4,	Regular
17,	1,	x^88 + x^87 + 16*x^2 + 3	2^7 * 3^2 * 5 * 23 * 29 * 89 * 353 * 947 * 25741 * 41761 * 4578289 * 87415373 * 256152733 * 6901823633 * 2141993519227 * 10220537742525964173135803376631640231153
17,	2,	Regular
17,	3,	True	
17,	4,	Regular
19,	1,	x^88 + x^87 + 13*x + 3	2^5 * 3^2 * 5 * 17 * 23 * 89 * 181 * 3833 * 104281 * 774797 * 62060021 * 121434809 * 50766225049 * 253239693257 * 18815582771569 * 136872109280136121 * 48381877771677135533
19,	2,	Regular
19,	3,	True	
19,	4,	Regular
23,	1,	Regular
23,	2,	Regular
23,	3,	Regular
23,	4,	Regular
29,	1,	x^88 + x^87 + 7*x + 15	2^5 * 3 * 5 * 7 * 23 * 89 * 353 * 421 * 617 * 353641 * 5618383 * 72384467 * 402546025333 * 1521741545017 * 18944890940537 * 439165605149799397 * 1062009809976544695855821703343010606777
29,	2,	Regular
29,	3,	True	
31,	1,	Regular
31,	2,	Regular
31,	3,	Regular
37,	1,	Regular
37,	2,	Regular
37,	3,	Regular
41,	1,	x^88 + x^87 + 7*x + 22	2^6 * 3 * 5 * 7 * 23 * 29^2 * 89 * 137 * 1277 * 2311 * 10313 * 86857 * 132947 * 218404913 * 4499415031 * 5669871130991 * 5464786215794929 * 141002872158635579680840653413 * 3518225751306735179725354195790881
41,	2,	Regular
41,	3,	True	
43,	1,	x^88 + x^87 + 4*x + 30	2^5 * 3 * 5^2 * 7 * 11^2 * 17 * 23 * 37 * 67 * 89 * 193 * 521 * 2113 * 15973 * 89849 * 359063 * 3470039 * 6038099 * 3664405207 * 267606343535521 * 489324727930193 * 98592022837426421278798769 * 29224547986227053551568061157
43,	2,	Regular
43,	3,	True	
47,	1,	Regular
47,	2,	Regular
47,	3,	Regular
53,	1,	Regular
53,	2,	Regular
53,	3,	Regular
59,	1,	Regular
59,	2,	Regular
59,	3,	Regular
61,	1,	x^88 + 3*x^87 + 10	2^5 * 3 * 5 * 23 * 31 * 89 * 199 * 331 * 353 * 859 * 1861 * 2179 * 11969 * 125753 * 6922921 * 11576489 * 32246281 * 42308091563 * 204084275737 * 1042440443353 * 4242586390571 * 15133839192893257 * 21591656890687049 * 107344564223253404451097
61,	2,	Regular
61,	3,	True	
67,	1,	Regular
67,	2,	Regular
71,	1,	Regular
71,	2,	Regular
73,	1,	x^88 + x^87 + 7*x + 60	2^6 * 3^2 * 5 * 13 * 23 * 37 * 41 * 89 * 353 * 617 * 3323 * 12893 * 52757 * 461561 * 8339717 * 14199121 * 123518407 * 151605697 * 241754156843057 * 47635391067166673 * 3255294809901099691133 * 42733163887288641366061187822184789342181628969
73,	2,	Regular
79,	1,	x^88 + x^87 + 6*x + 34	2^7 * 3 * 5 * 13 * 23 * 41 * 89 * 433 * 727 * 1097 * 1321 * 2377 * 3121 * 5479 * 81973 * 261581 * 60623993 * 6821422367 * 1750258119644519 * 63508448615022691511573 * 2559479415610652490210577442079815773632828121646754363830757934113553
79,	2,	Regular
83,	1,	x^88 + x^87 + 9*x + 50	2^5 * 3 * 5 * 7 * 13 * 17 * 23 * 41 * 53 * 73 * 89 * 353 * 13003 * 19121 * 27809 * 75527 * 3805121 * 19951801 * 15991874273 * 33409485649 * 50705344097 * 24702023539303606057 * 170710291524371057165257 * 19627182968005321402011264076434502836600260849
83,	2,	Regular
89,	1,	Regular
89,	2,	Regular
97,	1,	Regular
97,	2,	Regular
101,	1,	x^88 + x^87 + 2*x + 29	2^5 * 3 * 5^2 * 17 * 23 * 89 * 463 * 617 * 1409 * 5101 * 5897 * 7129 * 146543 * 214853 * 584609 * 1876403 * 10940643737 * 1612088465989 * 2585122674619 * 40302546597815808211540308331813 * 524646964404272867958208780394890741748644664215975529829713
101,	2,	Regular
103,	1,	Regular
103,	2,	Regular
107,	1,	x^88 + x^87 + 3*x + 74	2^5 * 3^3 * 5^2 * 23 * 53 * 67 * 89 * 229 * 397 * 463 * 2531 * 4201 * 6997 * 15601 * 715903 * 889769 * 863885441 * 1635665747 * 6588500623 * 488618993885518778502390463274521 * 1733384661238610654937292404715343689464489689116730570598171512036562161
107,	2,	Regular
109,	1,	x^88 + x^87 + 10	2^5 * 3^3 * 5 * 11^2 * 13 * 23 * 41 * 67 * 89 * 353 * 457 * 9967 * 18217 * 68993 * 1359997 * 1410553 * 1721441 * 10175728663 * 36286016273849 * 23971944503021153 * 446389521087763406657813023037753 * 195103037201400513520898643502911696596482050932687779793
109,	2,	Regular
113,	1,	Regular
113,	2,	Regular
127,	1,	x^88 + 3*x^87 + 46	2^10 * 3^2 * 5 * 7 * 17 * 23 * 89 * 137 * 1613 * 4973 * 20681 * 55849 * 383791 * 32336393 * 118965659297 * 136447203773 * 887911000010233 * 13448835367392450257 * 47834644354838156839 * 62275302280475873117 * 1335687053071403868261114506381712942859159536289
127,	2,	Regular
131,	1,	x^88 + x^87 + 54	2^5 * 3 * 5 * 11^2 * 13 * 23 * 67 * 89 * 113 * 353 * 1453 * 4643 * 8581 * 15401 * 1303097 * 3983453 * 123210869 * 7260378379 * 24889180664027327478381413077048617605009 * 4907404137743733825276144912396137387002425342297686292844009331453268792239004819601
131,	2,	Regular
137,	1,	Regular
137,	2,	Regular
