p,	e,	result
2,	1,	Regular
2,	2,	Regular
2,	3,	Regular
2,	4,	Regular
2,	5,	Regular
2,	6,	Regular
2,	7,	Regular
2,	8,	Regular
2,	9,	Regular
2,	10,	Regular
2,	11,	Regular
2,	12,	Regular
2,	13,	Regular
2,	14,	Regular
3,	1,	x^28 + x^27 + x^15 + 2	2^4 * 5 * 29 * 547 * 1093 * 16493
3,	2,	Regular
3,	3,	x^84 + x^83 + 2*x^18 + 2*x + 2	2^4 * 5 * 7^2 * 13 * 29 * 43 * 73 * 547 * 1093 * 2269 * 2857 * 16493 * 368089 * 109688713
3,	4,	Regular
3,	5,	True	2^4 * 5^2 * 11^2 * 29 * 61 * 71 * 547 * 1093 * 1181 * 16493 * 28596961 * 32839661 * 94373861 * 2664097031 * 374857981681
3,	6,	Regular
3,	7,	True	
3,	8,	Regular
3,	9,	True	
5,	1,	x^28 + x^27 + x^4 + 3	2^4 * 3 * 13 * 29 * 449 * 19531 * 234750601
5,	2,	Regular
5,	3,	True	2^4 * 3^2 * 7^2 * 13 * 29 * 31 * 43 * 127 * 379 * 449 * 601 * 2521 * 7603 * 19531 * 519499 * 234750601 * 24587411156281
5,	4,	Regular
5,	5,	True	
5,	6,	Regular
7,	1,	Regular
7,	2,	Regular
7,	3,	Regular
7,	4,	Regular
7,	5,	Regular
11,	1,	Regular
11,	2,	Regular
11,	3,	Regular
11,	4,	Regular
13,	1,	x^28 + 2*x^27 + 5*x + 2	2^4 * 3 * 5 * 7^2 * 17 * 29 * 22079 * 5229043 * 23161037562937
13,	2,	Regular
13,	3,	True	
17,	1,	x^28 + x^27 + x + 5	2^6 * 3^2 * 5 * 29 * 5766433 * 22796593 * 25646167 * 100688449
17,	2,	Regular
17,	3,	True	
19,	1,	x^28 + x^27 + x + 2	2^4 * 3^2 * 5 * 29 * 181 * 197 * 701 * 5237 * 70841 * 226871 * 14533200697
19,	2,	Regular
19,	3,	True	
23,	1,	Regular
23,	2,	Regular
23,	3,	Regular
29,	1,	Regular
29,	2,	Regular
31,	1,	x^28 + x^27 + 3*x + 12	2^7 * 3 * 5 * 13 * 29 * 37 * 7253 * 11971 * 13469 * 71821 * 277739477 * 917087137
31,	2,	Regular
37,	1,	Regular
37,	2,	Regular
41,	1,	x^28 + x^27 + 9*x + 15	2^5 * 3 * 5 * 7^2 * 29^2 * 43 * 71 * 9329993 * 113229229 * 22550075621233982641
41,	2,	Regular
43,	1,	Regular
43,	2,	Regular
47,	1,	x^28 + x^27 + 3*x + 15	2^6 * 3 * 5 * 13 * 17 * 23 * 29 * 43 * 757 * 5881 * 1794703 * 256128979 * 5290343359778849
47,	2,	Regular
53,	1,	Regular
53,	2,	Regular
59,	1,	x^28 + x^27 + x + 6	2^4 * 3 * 5 * 29 * 43 * 281 * 757 * 1741 * 2927 * 4691 * 578509 * 2153873 * 14170661 * 1427477213
59,	2,	Regular
